time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2020-12-09,182,195.5,163.8,189.51,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-10,179.71,187.6951,172.6361,186,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-11,176.52,182,168.25,175,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-14,169.1,170,151.2,160,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-15,157.1,161.42,153.76,158.89,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-16,161.18,167.47,157.2,158.05,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-17,159.1,161.66,149.95,154.21,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-18,154.21,169.95,147.32,166.35,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-21,169.07,173.46,155,160.23,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-22,161.05,163.21,153.4215,156.79,,,,,,0,0,,,,,,,,-5.833528525011555,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-23,155,161.56,150.25,158.22,,,,,,0,0,,,,,,,,-3.1547247420030122,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-24,157.38,158.6,153.07,158.46,,,,,,0,0,,,,,,,,-1.3447889428464643,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-28,158.25,158.45,141.505,147.89,,,,,,0,0,,,,,,,,-6.34479352031867,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-12-29,146.12,147.4,139.64,141.27,,,,,,0,0,,,,,,,,-9.463200799815418,,,0,,,,,,,,,,-0.829815109553114,,,,,,,,,,,,,0
2020-12-30,144.4,147.98,139.8,140.2,,,,,,0,0,,,,,,,,-9.059656087230096,,,0,17.951384375406207,,,,,,,,,-0.826804471961556,17.951384375406207,17.951384375406207,,17.951384375406207,,,,,,,,,0
2020-12-31,140.2,146.5,135.38,142.75,,,,,,0,0,,,,,,,,-6.477459593676505,,,0,20.779308547099333,,,,,,,,,-0.8238002073410159,20.779308547099333,,,,,,,,,,,,0
2021-01-04,142.5,143.62,137.17,139.19,,,,,,0,0,,,,,,,,-7.903529956661259,,,0,19.75558902297037,,,,,,,,,-0.8193189850253472,19.75558902297037,,,,,,,,,,,,0
2021-01-05,138,146.12,137.835,144.43,,,,,,0,0,,,,,,,,-3.0300181948799243,,,0,25.568238865942973,,,,,,,,,-0.8236811396513,25.568238865942973,,,,,,,,,,,,0
2021-01-06,141.27,142,138.21,140.01,,,,,,0,0,,,,,,,,-4.703888484287477,,,0,23.989684409659162,,,,,,,,,-0.848204376031554,23.989684409659162,,,,,,,,,,,,0
2021-01-07,140,154.64,139.435,152.77,156.511,184.57370614178183,128.44829385821816,,,0,0,,,,,,,,4.266340884117414,-2.3902473308585193,,0,36.229896992986916,,,,,,,,,-0.7259049253128049,36.229896992986916,,,,,,,,,,,,0
2021-01-08,152,158.31,147.3,156.09,154.84,178.47461783063136,131.20538216936865,,,0,0,,,,,,,,6.687353902095605,0.8072849392921633,,0,38.98310255726488,,,,,,,,,-0.5815515294057574,38.98310255726488,,,,,,,,,,,,0
2021-01-11,153.19,169,153.19,167,153.89000000000001,173.64776201901353,134.1322379809865,51.974213666299484,,0,0,,,,,,,,13.481924435988013,8.519072064461607,,0,47.07020722540636,,,,,,,,,-0.11889628063119986,47.07020722540636,,,,,,,,,,,,0
2021-01-12,165.5,201.93,162.615,191.99,154.7395,179.00219026715732,130.47680973284267,66.42439614352121,,0,0,,,,,,,,26.667546348221926,24.073038881475007,,0,60.111413827093365,,,,,,,,,0.36619206209076394,60.111413827093365,,,,,,,,,,,,0
2021-01-13,192.41,215.5,188.07,198,156.6395,187.34776825140094,125.93123174859906,68.50076160935126,62.29979047305731,0,0,,,,,,,,25.91975477445736,26.404897870588194,,0,62.50414414071519,,,,,,,,,0.598400862831694,62.50414414071519,,,,,,,,,,,,0
2021-01-14,196.62,221.4,195.33,207.24,159.057,196.88145880643913,121.23254119356085,71.30420409129871,68.74312061472372,0,0,,,,,,,,26.406704605756715,30.292913861068694,,0,65.89170638551039,,,,,,,,,0.7619444728281389,65.89170638551039,,,,,65.89170638551039,,65.89170638551039,,,,,0
2021-01-15,207,212.09,186.95,187.15,160.512,200.2594792156685,120.7645207843315,64.61007854711114,68.13834808258703,0,0,,,,,,,,11.142784181676735,16.595643939393945,,0,54.38664520762377,,,,,,,11.003397572789169,,0.8588758431891658,54.38664520762377,,,,,,,,,,,,0
2021-01-19,191.19,202.3,185.5404,198.75,162.739,205.68675752003819,119.79124247996182,67.4128567219845,67.77571312013146,0,0,,,,,,,,13.999414946398758,22.12807009997604,,0,58.85398228078423,,,,,,,12.163370157470723,,0.9083476658351376,58.85398228078423,,,,,,,,,,,,0
2021-01-20,200,203.82,189.04,189.46,163.89450000000002,208.3845399977338,119.40446000226623,66.13868149993098,66.05387225634222,0,0,,,,,,,,5.934714782550343,15.598754076555332,,0,54.269844204442464,41.88179628877897,,,,,,12.192484061053477,,0.902768693970624,54.269844204442464,,,,,,,,,,,,0
2021-01-21,191.61,195.4738,183.1929,190.89,165.4275,211.39519512385831,119.4598048761417,64.48767373905667,66.0130706536574,0,0,,,,,,,,3.781791294703507,15.391939066962856,,0,54.8527761993783,44.517609990491266,,,,,,12.190422486241658,,0.881489899104164,54.8527761993783,,,,,,,,,,,,0
2021-01-22,190.2,197.07,187.11,192,167.18800000000002,214.37835732011337,119.99764267988665,64.21785566039918,64.94807029979562,0,0,,,,,,,,2.2054009166546873,14.840778046271241,14.99783380816524,0,55.32878458701825,46.98542970762833,,,,,,12.138432107272365,,0.8500917429033263,55.32878458701825,,,,,,,,,,,,0
2021-01-25,194.33,215.39,191.31,191.81,168.8675,217.04229128133292,120.69270871866709,63.00231655130557,63.90261531692048,0,0,,,,,,,,0.19902940515805767,13.586095607502923,14.831304167356784,0,55.22145814523542,49.518706073504404,,,,,,11.944212498595306,,0.7923031831064272,55.22145814523542,,,,,,,,,,,,0
2021-01-26,198,204.38,196.41,198.22,170.8555,220.41004145686333,121.30095854313667,64.32234366613096,63.84750529261191,0,0,,,,,,,,1.8858808230232782,16.01616570727895,18.380111918237162,0,58.169526149777084,51.84736945092113,,,,,,12.167268788109368,,0.7429130742724138,58.169526149777084,,,,,,,,,,,,0
2021-01-27,200,256.09,190.4,193.07,173.11450000000002,222.39384880860302,123.83515119139702,64.56478290154664,63.96314770632773,0,0,,,,,,,,-0.8162992720603723,11.527341730473161,14.891160753603172,0,55.034532164491544,54.064858576266296,,,,,,11.79254344470175,,0.6394884177712756,55.034532164491544,,,,,,,,,,,,0
2021-01-28,198.99,201.5,183.48,183.8,175.241,222.4679812289541,128.01401877104593,59.119451332851526,62.66885930017639,0,0,,,,,,,,-4.884624739312448,4.884130996741631,8.860889445192477,0,49.828832743450306,55.03621112987082,,,,,-1.176832280722648,10.625080073716248,11.801912354438896,0.41030417672800057,49.828832743450306,49.828832743450306,,49.828832743450306,,,,,,,,,0
2021-01-29,189.4,194.99,183.48,193.27,177.89450000000002,222.8573528787928,132.93164712120725,58.71419805837124,60.79947743092314,0,0,,,,,,,,0.7443625483470662,8.643044051390003,13.698044537175736,0,54.557718923222815,56.14868372743924,,,,,-1.1657227985174234,10.344758856292117,11.51048165480954,0.14991176862231387,54.557718923222815,,,,,,,,,,,,0
2021-02-01,194.59,203.67,187.5631,191.17,180.31550000000001,222.58172503843886,138.04927496156117,56.47067440279824,58.10144126467369,0,0,,,,,,,,-0.5586650298578966,6.019726534879122,11.736948338879483,0,53.356706041243925,56.59771935714193,,,,,-1.3366064330402558,9.839723613509221,11.176330046549477,-0.3627707519859287,53.356706041243925,,,,,,,,,,,,0
2021-02-02,191.95,197.6,181.63,182.53,182.48250000000002,220.30272838376266,144.66227161623738,49.63440116615787,54.9397578757758,0,0,,,,,,,,-4.245050413908158,0.026029893277423888,6.10153071110251,0,48.61493776432498,55.77654249551562,,,,,-2.0269229497811203,8.642676359323076,10.669599309104196,-0.5540235397749699,48.61493776432498,,,,,,,,,,,,0
2021-02-03,184.66,186.66,178.326,180.58,184.29000000000002,217.88206453911337,150.69793546088667,38.801370216549074,48.302148595168404,0,0,,,,,,,,-4.824649245786206,-2.0131314775625464,4.679405552989913,0,47.58705010422416,54.711035778623405,,,,,-2.5750624631604726,7.450771230153606,10.025833693314079,-0.611953226541431,47.58705010422416,47.58705010422416,,47.58705010422416,,,,,,,,,0
2021-02-04,181.38,191.8765,180.6501,189.33,186.75600000000003,213.53358047322345,159.9784195267766,39.147515246642236,42.52776220978307,0,0,,,,,,,,-0.13081686693604544,1.3782689712780183,9.137967807575631,0,52.445783545015225,53.75061271858804,,,,,-2.316635715126024,7.130039049406548,9.446674764532572,-0.44191966615851885,52.445783545015225,,,,,,,,,,,,0
2021-02-05,189.57,190.9163,180.2449,181.23,188.17900000000003,210.17983625683289,166.17816374316718,34.71574150531503,37.55487565616879,0,0,,,,,,,,-3.857273966716368,-3.692760616221813,3.9804772441702108,0,48.00899496981818,53.29506627303049,,,,,-2.6362635713100975,6.151345300394951,8.787608871705048,-0.6618846459386485,48.00899496981818,,,,,,,,,,,,0
2021-02-08,183.45,185.49,174.21,177.43,189.24600000000004,206.46953784795411,172.02246215204596,28.65170387065838,34.171653540871894,0,0,,,,,,,,-5.149602005741382,-6.243725098548991,1.4275969039516223,0,46.041164345863336,52.379864991964716,,,,,-3.0210249019022406,5.011327744327247,8.032352646229487,-0.6724900174169777,46.041164345863336,46.041164345863336,,46.041164345863336,,,,,,,,,0
2021-02-09,177.71,192.28,177.6,187.75,190.28350000000003,204.20525746807718,176.36174253192289,35.11169553334686,32.82638030310677,0,0,,,,,,,,0.9321778771718359,-1.3314344123373956,6.7313213081763745,0,51.81729564219624,52.20468295180427,,,,,-2.518449867723339,4.884290311575313,7.402740179298652,-0.6536227825074108,51.81729564219624,,,,,,,,,,,,0
2021-02-10,190.66,215.68,190,215.16,191.44200000000004,209.0951148526241,173.78888514737596,48.41716045735709,37.393519953787454,0,0,,,,,,,,14.310001328197641,12.389130911712144,20.773724211999543,0,63.11197511271496,52.79462573132832,,,,,-0.3896714731030597,6.915650837919827,7.305322311022887,-0.031865505745132236,63.11197511271496,,,,,63.11197511271496,,63.11197511271496,,,,,0
2021-02-11,208.5,222,208.5,213.26,192.20500000000004,212.10242043582332,172.30757956417676,50.527008847534155,44.68528827941271,0,0,,,,,,,,11.554576792505134,10.95444967612702,18.116210932091192,0,62.02657518201737,53.27303934525681,,,,,0.7771780155757977,8.276794830492634,7.499616814916836,0.24781997916834134,62.02657518201737,,,,,,,,,,,,0
2021-02-12,213.03,213.54,202.51,202.97,191.99150000000003,211.32260992674682,172.66039007325324,49.23799769369957,49.39405566619695,0,0,,,,,,,,5.635965254682751,5.718221900448706,11.129158834157638,0,56.37214276059248,53.355231103496614,,,,,0.7427393780117413,8.428041037431512,7.685301659419771,0.363089097776576,56.37214276059248,,,,,,,,,,,,0
2021-02-16,205.6,226.47,205,212.17,193.24250000000004,214.31803451279336,172.1669654872067,54.823764933521645,51.52959049158513,0,0,,,,,,,,9.230286087901085,9.794688021527321,14.712942804827044,0,59.892553705008496,53.47830450029886,,,,,1.199275360548353,9.184395860105212,7.985120499556859,0.5841317335398045,59.892553705008496,,,,,,,,,,,,0
2021-02-17,213.82,213.82,194.09,197.87,193.19850000000005,214.2314895877862,172.1655104122139,47.28777093055385,50.44984451925836,0,0,,,,,,,,1.0701059890179998,2.417979435658113,5.861896779255971,0,52.76546531479136,53.316228296748854,,,,,0.43716386176027733,8.531575326757206,8.094411464996929,0.6247264129910992,52.76546531479136,,,,,,,,,,,,0
2021-02-18,194.3,201.41,188.91,200.06,193.72850000000005,214.89176560339757,172.56523439660253,51.36504407871483,51.15885998093012,0,0,,,,,,,,1.181956575613352,3.268233636248641,5.982133239626131,0,53.67464727402222,53.590929334646844,,,,,0.0025357663820688714,8.097581172974515,8.095045406592446,0.5919821941716638,53.67464727402222,,,,,,,,,,,,0
2021-02-19,200.07,209.16,199.23,205.97,194.48250000000007,216.25333358532396,172.7116664146762,54.714894634945814,51.12256988140484,0,0,,,,,,,,3.3016194636561025,5.906701117067059,7.856707726841883,0,56.12878472215958,53.703148320285194,,,,,0.033347776679125474,8.136730127441353,8.103382350762228,0.6659646241400479,56.12878472215958,,,,,,,,,,,,0
2021-02-22,198,201.99,176.36,178.07,193.78600000000006,216.69168086741615,170.88031913258396,41.04017089798315,49.04003653721461,0,0,,,,,,,,-10.549502438828373,-8.109976984921541,-7.163177385915553,0,44.21929038244953,53.05047577322845,,,,,-1.803477808357874,5.849035090314885,7.652512898672759,0.43361186359793574,44.21929038244953,,,,,,,,,,,,0
2021-02-23,175.96,185.46,165.55,173.5,192.87050000000005,217.4233226279572,168.3176773720429,32.010824614013934,42.58863004898098,0,0,,,,,,,,-12.672766989802609,-10.043267373704145,-9.81859764020998,0,42.623933362941834,52.62254688741537,,,,,-3.2216364360219973,3.625467353645263,6.84710378966726,0.12361916790536609,42.623933362941834,,,,,,,,,,,,0
2021-02-24,174.36,180.55,173.52,176.32,191.77550000000005,217.21376603760427,166.33723396239583,31.14290909345401,34.73130153515038,0,0,,,,,,,,-10.739868883995252,-8.059162927485552,-8.500576022916384,0,43.967332328891885,52.36399561774878,,,,,-3.824085210353168,2.0669972767258002,5.891082487078968,-0.1434423559916215,43.967332328891885,,,,,,,,,,,,0
2021-02-25,174.41,182.555,163.73,166.87,190.46550000000008,218.10537371533897,162.82562628466118,23.74371219423185,28.965815300566607,0,0,,,,,,,,-13.406951522007626,-12.388332795178158,-13.026633541235944,0,40.54167943095073,51.51370246674417,,,,,-4.658008362606762,0.0685720338205158,4.726580396427278,-0.3585411670074507,40.54167943095073,40.54167943095073,,40.54167943095073,,,,,,,,,0
2021-02-26,155.5,172.97,155.0201,169.49,189.75000000000006,218.75040344546815,160.74959655453196,25.375583296144043,26.754068194609975,0,0,,,,,,,,-10.003239012579069,-10.677206851119914,-11.221341658242235,0,41.89341809253461,51.076875546938204,,,,,-4.812403795348619,-1.2889243477584955,3.523479447590123,-0.5809364428784128,41.89341809253461,,,,,,,,,,,,0
2021-03-01,171.44,173.79,164.2,168.89,188.5310000000001,218.8563919348104,158.20560806518978,24.71990844231626,24.613067977564057,0,0,,,,,,,,-8.669107348543449,-10.417915356095332,-10.939279737881991,0,41.6598398771149,50.76392379917046,,,,,-4.727315190223502,-2.3856645401892536,2.3416506500342478,-0.8123176069195296,41.6598398771149,,,,,,,,,,,,0
2021-03-02,168,170.8,155.22,160.59,187.0020000000001,219.63672175459516,154.36727824540503,20.439013112441625,23.51150161696732,0,0,,,,,,,,-10.665709851304218,-14.123913113228781,-14.918904790833698,0,38.4649001143432,49.810181261466674,,,,,-4.977204618863022,-3.87985512354453,1.097349495318492,-0.943368533442543,38.4649001143432,,,,,,,,,,,,0
2021-03-03,156.69,161.34,144.56,148.25,185.28800000000007,222.02514229495628,148.55085770504385,15.77460349538989,20.311175016715932,0,0,,,,,,,,-15.189272372583684,-19.989421872976155,-20.749895758716164,0,34.258287857009776,47.74920360034488,,,,,-5.670431478403289,-5.99068985268562,-0.3202583742823304,-0.947528100492874,34.258287857009776,34.258287857009776,,34.258287857009776,,,,,,,,,0
2021-03-04,147.32,152.47,138.82,150,183.75900000000007,223.56957392201122,143.94842607798893,16.31854315707175,17.51071992163443,0,0,,,,,,,,-11.658176035807898,-18.371345076975853,-19.246588616999126,0,35.33828514375652,45.84289716904054,,,,,-5.693078609738156,-7.436606636455025,-1.7435280267168694,-0.9475064651978923,35.33828514375652,,,,,,,,,,,,0
2021-03-05,150.5,160,138.45,151.48,181.86650000000006,223.97036123623238,139.76263876376774,16.96781656060239,16.353654404354685,1,0,,,,,,,,-7.828605503024111,-16.708134813173437,-17.868974229682756,0,36.29149260758888,44.40856501525456,,,,,-5.298487250162626,-8.366637089420152,-3.0681498392575257,-0.9486078321830386,36.29149260758888,,,,,,,,,,,,0
2021-03-08,146.41,150.4,130.03,133.41,179.47550000000007,226.58593471461407,132.36506528538607,12.437767172680182,15.241375630118114,0,0,,,,,,,,-16.556167125344025,-25.666734456792184,-26.892220687841117,0,30.399209251946345,42.301897554321556,,,,,-5.898623022255995,-10.44142861707752,-4.542805594821525,-0.9485483217521146,30.399209251946345,30.399209251946345,,30.399209251946345,,,,,,,,,0
2021-03-09,132.91,147.2129,130,141.48,177.67800000000005,227.6216064376606,127.7343935623395,16.515489332745528,15.307024355342707,1,0,,,,,,,,-9.700149350898023,-20.372809239185518,-21.75052865036069,0,35.440470622621675,41.06439793345229,,,,,-5.409136493331782,-11.304226211486252,-5.895089718154471,-0.943798042251936,35.440470622621675,,,,,,,,,,,,0
