time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2021-07-28,141.4,145,130,139.01,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-07-29,137,139,132,134.44,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-07-30,135.18,141.4,128.5,140.25,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-02,140,147.25,134.72,143.8,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-03,143.16,146.99,138.01,139.86,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-04,136.47,142.345,135.9,141.5,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-05,139.01,152.84,137.01,146,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-06,140.1,141.86,132.4,134.38,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-09,135,138.53,135,138.25,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-10,138.6,141.5,138.6,140,,,,,,0,0,,,,,,,,0.17960772527889635,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-11,140.5,142.97,135.4,135.96,,,,,,0,0,,,,,,,,-2.498494019104447,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-12,135.5,137.21,130.16,133.8,,,,,,0,0,,,,,,,,-4.003443822643127,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-13,134,137.7894,131.74,136.63,,,,,,0,0,,,,,,,,-1.7177631673596316,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-08-16,137.11,137.99,133.365,135,,,,,,0,0,,,,,,,,-2.2716414020761855,,,0,,,,,,,,,,-0.4009809014352273,,,,,,,,,,,,,0
2021-08-17,135.39,136.13,132.2,133.48,,,,,,0,0,,,,,,,,-2.9236363636363727,,,0,44.82500467901927,,,,,,,,,-0.5117943173976671,44.82500467901927,,,,,44.82500467901927,,44.82500467901927,,,,,0
2021-08-18,133.4,133.97,129.14,131.5,,,,,,0,0,,,,,,,,-3.663003663003661,,,0,43.10476111364926,,,,,,,,,-0.7847536047847197,43.10476111364926,,,,,,,,,,,,0
2021-08-19,130.78,131,125.1,126.16,,,,,,0,0,,,,,,,,-6.211900443069984,,,0,38.78200613797312,,,,,,,,,-0.8463155576317462,38.78200613797312,,,,,,,,,,,,0
2021-08-20,126.5,127.4,125.01,126.03,,,,,,0,0,,,,,,,,-5.7233264263433,,,0,38.68030821541441,,,,,,,,,-0.8562263362198228,38.68030821541441,,,,,,,,,,,,0
2021-08-23,125.26,126,123,124.01,,,,,,0,0,,,,,,,,-6.2355867742350135,,,0,37.054334470847046,,,,,,,,,-0.8959341075670244,37.054334470847046,37.054334470847046,,37.054334470847046,,,,,,,,,0
2021-08-24,123.69,130.62,123.69,127.16,135.361,147.21036605899266,123.51163394100732,,,0,0,,,,,,,,-2.91128705916488,-6.058613633173504,,0,41.20491186126744,,,,,,,,,-0.8901946372254396,41.20491186126744,,,,,,,,,,,,0
2021-08-25,127.28,130.58,126.29,127.33,134.777,146.9950032738588,122.55899672614117,,,0,0,,,,,,,,-2.1366536007993098,-5.52542347729953,,0,41.42937529043534,,,,,,,,,-0.8679368534035284,41.42937529043534,,,,,,,,,,,,0
2021-08-26,127.43,128,119.68,120,134.055,147.86961906821892,120.24038093178109,26.28153386170593,,0,0,,,,,,,,-6.781635982288503,-10.484502629517745,,0,35.190946377737944,,,,,,,,,-0.9301813632265367,35.190946377737944,35.190946377737944,,35.190946377737944,,,,,,,,,0
2021-08-27,119.8,120.775,118.545,120.1,133.04749999999999,147.81422864923064,118.28077135076931,26.909138240003365,,0,0,,,,,,,,-5.4903719791937196,-9.73148687498825,,0,35.33400811616889,,,,,,,,,-0.9394252197012554,35.33400811616889,,,,,,,,,,,,0
2021-08-30,121.04,128.8,119.4,128.7,132.2925,146.3079584298912,118.27704157010879,34.42300108263621,29.204557728115173,0,0,,,,,,,,1.7817741820683741,-2.7155734452066427,,0,46.310431841615426,,,,,,,,,-0.8328277057916553,46.310431841615426,,,,,,,,,,,,0
2021-08-31,127.16,130.81,125.4,129.56,131.7775,145.3941102610011,118.16088973899892,37.56145633667122,32.96453188643693,0,0,,,,,,,,2.780532307326178,-1.682760714082454,,0,47.27424404087436,,,,,,,,,-0.6931504278368289,47.27424404087436,,,,,,,,,,,,0
2021-09-01,130,137.72,128.94,137.48,131.57649999999998,144.7236963170867,118.42930368291324,47.84622793538915,39.94356178489886,0,0,,,,,,,,8.548553922923263,4.486743453428232,,0,55.2427564583109,,,,,,,-3.9436645959943917,,-0.3236288508771796,55.2427564583109,,,,,,,,,,,,0
2021-09-02,138.17,152.77,136.6005,152.09,131.881,146.544940670911,117.21705932908901,65.03568021065587,50.147788160905414,0,0,,,,,,,,17.674821657923644,15.323662999218989,,0,65.57762556702272,,,,,,,-1.852112427160705,,0.2536367531233986,65.57762556702272,,,,,,,,,,,,0
2021-09-03,149,163.84,146.561,163.06,133.315,153.31456849534527,113.31543150465474,67.27649615754932,60.05280143453145,0,0,,,,,,,,22.648534400409194,22.311817874957818,,0,70.99359968391629,45.78602241816088,,,,,,0.6827744564230613,,0.5597815580583744,70.99359968391629,,,,,,,,,,,,0
2021-09-07,164.83,164.83,158.02,163.38,134.5715,158.43732433103906,110.70567566896092,71.63180020798406,67.98132552539641,0,0,,,,,,,,19.354791578393705,21.407578870711852,,0,71.13626431863652,47.66539810670498,,,,,,2.686543103602105,,0.7292519309936147,71.13626431863652,,,,,71.13626431863652,,71.13626431863652,,,,,0
2021-09-08,163.38,163.58,153.66,158.11,135.477,161.3848429051898,109.56915709481021,68.94125956118909,69.28318530890749,0,0,,,,,,,,12.951043355884039,16.706156764616885,15.492217003528118,0,65.42887780983716,49.259977870718394,,,,,,3.80543257813153,,0.8274925820772205,65.42887780983716,,,,,,,,,,,,0
2021-09-09,156.73,170.58,155.015,169.75,137.16649999999998,167.0776974183584,107.25530258164157,74.77082968133693,71.78129648350335,0,0,,,,,,,,17.699673422408367,23.754706870846753,23.07353961191656,0,70.96917065396714,51.559061050432256,,,,,,5.567235641331138,,0.8822203437046001,70.96917065396714,,,,,,,,,,,,0
2021-09-10,171.97,181.27,170.49,173.37,139.145,172.89250212978726,105.39749787021276,77.00692391019905,73.57300438424168,0,0,,,,,,,,15.920032094142812,24.596643788853356,24.52654009145978,0,72.44798250701122,53.97103778554631,,,,,,7.172896324563538,,0.9218953225283505,72.44798250701122,,,,,72.44798250701122,,72.44798250701122,,,,,0
2021-09-13,174.45,174.655,158.22,158.71,140.249,175.0241554417806,105.47384455821938,66.93561064723276,72.90445474625625,0,0,,,,,,,,3.4473768258582727,13.16301720511377,13.495075277224245,0,59.27869702685217,55.5584922538324,,,,,,7.179691488639463,,0.9061931403817327,59.27869702685217,59.27869702685217,,59.27869702685217,,,,,,,,,0
