time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2020-09-30,10,11.42,9.11,9.5,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-01,9.69,10.1,9.23,9.46,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-02,9.06,9.28,8.94,9.2,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-05,9.43,9.49,8.92,9.03,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-06,9.04,10.18,8.9,9.9,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-07,10.04,10.49,9.99,10,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-08,10.29,10.4,9.99,10,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-09,10.13,10.19,9.89,9.95,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-12,10.04,10.05,9.66,9.89,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-13,9.88,9.88,9.41,9.47,,,,,,0,0,,,,,,,,-1.763485477178417,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-14,9.6,9.66,9.29,9.34,,,,,,0,0,,,,,,,,-2.9509559434746313,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-15,9.27,9.91,9.18,9.91,,,,,,0,0,,,,,,,,2.4925018099079432,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-16,9.94,9.95,9.66,9.71,,,,,,0,0,,,,,,,,-0.10288065843621075,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2020-10-19,9.79,9.82,9.53,9.57,,,,,,0,0,,,,,,,,-2.0871700429711537,,,0,,,,,,,,,,0.2812279294286556,,,,,,,,,,,,,0
2020-10-20,9.6,9.66,9.27,9.27,,,,,,0,0,,,,,,,,-4.541241890639491,,,0,46.52567975830815,,,,,,,,,0.07908360347562521,46.52567975830815,,,,,,,,,,,,0
2020-10-21,9.3,9.48,9.2,9.2,,,,,,0,0,,,,,,,,-4.475132385006764,,,0,45.48966144058168,,,,,,,,,-0.13413042924877416,45.48966144058168,45.48966144058168,,45.48966144058168,,,,,,,,,0
2020-10-22,9.37,9.75,9.22,9.68,,,,,,0,0,,,,,,,,0.843837899781219,,,0,53.18743339187343,,,,,,,,,-0.28387276784729215,53.18743339187343,,,,,,,,,,,,0
2020-10-23,9.71,9.83,9.47,9.49,,,,,,0,0,,,,,,,,-0.6594786977912714,,,0,50.16744553799843,,,,,,,,,-0.6901850221149285,50.16744553799843,,,,,,,,,,,,0
2020-10-26,9.72,9.97,9.6,9.95,,,,,,0,0,,,,,,,,4.090386023642623,,,0,56.593441275238426,,,,,,,,,-0.45295020249808843,56.593441275238426,,,,,,,,,,,,0
2020-10-27,10,11.04,9.92,10.95,9.6735,10.504048613869148,8.842951386130853,,,0,0,,,,,,,,12.805192129391152,13.195844316948357,,0,66.6589086619943,,,,,,,,,0.15601232995679132,66.6589086619943,,,,,66.6589086619943,,66.6589086619943,,,,,0
2020-10-28,10.66,10.985,10.1,10.85,9.741,10.71177082774465,8.77022917225535,,,0,0,,,,,,,,10.062893081761004,11.38486808335899,,0,65.03482189297843,,,,,,,,,0.448456403468895,65.03482189297843,,,,,,,,,,,,0
2020-10-29,10.9,11.1,10.56,10.75,9.805499999999999,10.860762526578162,8.750237473421835,63.75750354149446,,0,0,,,,,,,,8.127137396902008,9.632349191780133,,0,63.372047037670455,,,,,,,,,0.6328586034203536,63.372047037670455,,,,,,,,,,,,0
