time,open,high,low,close,Basis,Upper,Lower,温度计,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Plot,Plot,ADX,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal line,Trend Strength Index,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Distance from MA,Upper StdDev Band,Lower StdDev Band,Zero Line
2021-11-10,106.75,119.46,95.2,100.73,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-11,114.625,125,108.01,122.99,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-12,128.645,135.2,125.25,129.95,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-15,130.8,152.53,127.51,149.36,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-16,163.8,179.4699,153.78,172.01,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-17,160.88,163,140.35,146.07,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-18,136.81,138.78,120.15,123.38,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-19,129.98,139.9,125.6,128.6,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-22,123.88,124.93,106.91,118.11,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-23,117.83,124,113,119.85,,,,,,0,0,,,,,,,,-8.584722169253645,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-24,119.38,120,113.4501,114.85,,,,,,0,0,,,,,,,,-13.331874401020249,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-26,111,114.4999,106.14,112.13,,,,,,0,0,,,,,,,,-14.685272119971692,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-29,115.85,122.25,113.6,119.77,,,,,,0,0,,,,,,,,-8.16099621970201,,,0,,,,,,,,,,,,,,,,,,,,,,,0
2021-11-30,119.9,121.49,114.1001,119.76,,,,,,0,0,,,,,,,,-6.035950507245802,,,0,,,,,,,,,,-0.27005443406913104,,,,,,,,,,,,,0
2021-12-01,120.54,126.75,113.1,115.69,,,,,,0,0,,,,,,,,-5.032794017451836,,,0,54.7704081632653,,,,,,,,,-0.5871964514509258,54.7704081632653,,,,,54.7704081632653,,54.7704081632653,,,,,0
